,fast_ma,slow_ma,profit,end_capital,number_of_trades
495,1,52,205.2122,2062122,168
709,5,56,204.6861,2056861,88
266,12,47,204.5244,2055244,78
93,13,43,204.2288,2052288,78
879,7,59,203.0896,2040896,78
880,8,59,203.004,2040040,72
876,4,59,202.3245,2033245,92
603,6,54,202.1997,2031997,86
168,3,45,201.538,2025380,126
546,1,53,198.8633,1998633,164
600,3,54,198.3616,1993616,104
712,8,56,197.1121,1981121,78
552,7,53,196.5281,1975281,90
311,11,48,196.3961,1973961,80
496,2,52,196.2645,1972645,130
599,2,54,196.2529,1972529,120
881,9,59,194.6197,1956197,72
262,8,47,194.0163,1950163,90
397,2,50,193.2327,1942327,134
598,1,54,193.055,1940550,166
96,16,43,192.8337,1938337,76
873,1,59,192.2171,1932171,150
404,9,50,191.0391,1920391,86
707,3,56,189.9864,1909864,102
55,16,42,189.7475,1907475,78
56,17,42,188.9566,1899566,78
937,7,60,188.7576,1897576,80
42,3,42,188.4331,1894331,132
824,9,58,186.6283,1876283,76
931,1,60,185.6921,1866921,142
222,13,46,184.0404,1850404,76
180,15,45,182.9656,1839656,78
95,15,43,182.6466,1836466,78
657,7,55,181.2214,1822214,84
