,fast_ma,slow_ma,profit,end_capital,number_of_trades
283,38,65,-0.09189999999999998,9081,14
864,7,74,-0.09189999999999998,9081,22
720,6,72,-0.09189999999999998,9081,22
668,24,71,-0.09209999999999996,9079,14
469,29,68,-0.09250000000000003,9075,14
783,69,72,-0.0927,9073,26
1295,63,79,-0.09350000000000003,9065,16
1060,56,76,-0.09360000000000002,9064,14
339,30,66,-0.09360000000000002,9064,16
719,5,72,-0.0937,9063,26
1031,27,76,-0.09389999999999998,9061,14
1046,42,76,-0.09399999999999997,9060,14
285,40,65,-0.09430000000000005,9057,14
413,39,67,-0.09430000000000005,9057,14
1330,20,80,-0.09440000000000004,9056,14
1010,6,76,-0.09440000000000004,9056,20
220,38,64,-0.09450000000000003,9055,14
36,37,61,-0.09450000000000003,9055,16
1246,14,79,-0.09460000000000002,9054,16
1196,41,78,-0.09489999999999998,9051,14
742,28,72,-0.09489999999999998,9051,14
844,59,73,-0.09489999999999998,9051,16
813,28,73,-0.09489999999999998,9051,14
353,44,66,-0.09499999999999997,9050,14
1176,21,78,-0.09519999999999995,9048,14
537,30,69,-0.09519999999999995,9048,14
38,39,61,-0.09519999999999995,9048,16
1169,14,78,-0.09530000000000005,9047,16
1253,21,79,-0.09540000000000004,9046,14
477,37,68,-0.09540000000000004,9046,14
957,27,75,-0.09550000000000003,9045,14
1179,24,78,-0.09589999999999999,9041,14
1005,1,76,-0.09589999999999999,9041,32
350,41,66,-0.09599999999999997,9040,14
701,57,71,-0.09609999999999996,9039,14
723,9,72,-0.09619999999999995,9038,20
672,28,71,-0.09630000000000005,9037,14
652,8,71,-0.09630000000000005,9037,20
1255,23,79,-0.09650000000000003,9035,14
535,28,69,-0.09650000000000003,9035,14
1078,74,76,-0.09660000000000002,9034,28
650,6,71,-0.09660000000000002,9034,22
1389,79,80,-0.09660000000000002,9034,26
615,40,70,-0.09670000000000001,9033,14
684,40,71,-0.09670000000000001,9033,14
791,6,73,-0.09670000000000001,9033,22
724,10,72,-0.09709999999999996,9029,20
814,29,73,-0.09719999999999995,9028,14
603,28,70,-0.09730000000000005,9027,14
572,65,69,-0.09740000000000004,9026,26
858,1,74,-0.09789999999999999,9021,30
1333,23,80,-0.09799999999999998,9020,14
1310,78,79,-0.09809999999999997,9019,26
